STATE/UT,DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total
ARUNACHAL PRADESH,TOTAL,2003,0,9,9,0,0,0,0,0,0,0,0,18
ASSAM,TOTAL,2003,2,5,0,0,0,0,12,0,0,0,0,19
BIHAR,TOTAL,2003,8,3,33,0,0,1,1,0,0,0,10,56
CHHATTISGARH,TOTAL,2003,29,186,45,6,4,3,0,0,0,6,335,614
GOA,TOTAL,2003,0,22,9,0,0,5,5,0,0,0,16,57
GUJARAT,TOTAL,2003,49,75,267,4,0,82,2,0,0,11,175,665
HARYANA,TOTAL,2003,24,77,92,2,0,24,3,0,0,3,62,287
HIMACHAL PRADESH,TOTAL,2003,5,36,23,0,0,11,4,0,1,1,28,109
JAMMU & KASHMIR,TOTAL,2003,0,2,38,0,0,2,0,0,0,0,7,49
JHARKHAND,TOTAL,2003,7,16,3,1,0,0,5,0,0,0,3,35
KARNATAKA,TOTAL,2003,23,25,29,0,0,11,1,0,0,2,25,116
KERALA,TOTAL,2003,31,69,23,0,0,1,7,0,0,0,48,179
MADHYA PRADESH,TOTAL,2003,165,699,210,11,9,90,13,0,25,3,1437,2662
MAHARASHTRA,TOTAL,2003,206,605,337,5,5,293,20,5,3,16,506,2001
MANIPUR,TOTAL,2003,1,7,26,0,0,0,0,0,0,0,2,36
MEGHALAYA,TOTAL,2003,14,24,8,0,0,0,0,0,0,0,0,46
MIZORAM,TOTAL,2003,5,9,3,0,0,0,0,0,0,0,0,17
NAGALAND,TOTAL,2003,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,TOTAL,2003,15,55,25,0,1,0,4,0,0,0,40,140
PUNJAB,TOTAL,2003,25,54,67,11,0,9,0,0,0,2,16,184
RAJASTHAN,TOTAL,2003,26,49,46,12,0,97,1,1,0,6,2,240
SIKKIM,TOTAL,2003,1,8,0,0,1,0,0,0,0,0,5,15
TAMIL NADU,TOTAL,2003,60,47,37,0,0,7,0,0,0,3,23,177
TRIPURA,TOTAL,2003,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,TOTAL,2003,458,301,561,3,2,0,28,0,0,4,345,1702
UTTARAKHAND,TOTAL,2003,3,11,2,0,0,0,7,0,0,0,0,23
WEST BENGAL,TOTAL,2003,2,16,32,0,0,0,12,18,6,1,61,148
A & N ISLANDS,TOTAL,2003,1,2,1,0,0,0,0,0,0,0,2,6
CHANDIGARH,TOTAL,2003,3,9,14,0,0,11,0,0,0,0,3,40
D & N HAVELI,TOTAL,2003,0,0,1,0,0,0,0,0,0,0,0,1
DAMAN & DIU,TOTAL,2003,0,4,1,0,0,0,0,0,0,0,1,6
DELHI,DELHI UT TOTAL,2003,32,140,255,2,0,39,0,0,0,1,47,516
LAKSHADWEEP,TOTAL,2003,0,0,0,0,0,0,0,0,0,0,1,1
PUDUCHERRY,TOTAL,2003,1,1,1,0,0,0,0,0,0,0,2,5
ANDHRA PRADESH,TOTAL,2004,71,363,396,0,2,26,60,0,0,4,406,1328
ARUNACHAL PRADESH,TOTAL,2004,0,11,8,0,0,0,0,0,0,0,3,22
ASSAM,TOTAL,2004,1,7,3,0,0,0,8,0,1,1,0,21
BIHAR,TOTAL,2004,9,3,29,1,0,1,7,0,1,3,5,59
CHHATTISGARH,TOTAL,2004,44,308,70,6,6,14,1,0,0,14,477,940
GOA,TOTAL,2004,2,20,9,0,0,1,1,0,0,0,20,53
GUJARAT,TOTAL,2004,74,96,300,0,1,95,5,0,0,30,198,799
HARYANA,TOTAL,2004,23,24,42,15,1,15,0,0,0,2,42,164
HIMACHAL PRADESH,TOTAL,2004,5,32,26,2,0,13,0,0,0,2,12,92
JAMMU & KASHMIR,TOTAL,2004,1,4,27,0,0,1,0,0,0,0,2,35
JHARKHAND,TOTAL,2004,6,43,18,1,0,0,5,0,0,0,39,112
KARNATAKA,TOTAL,2004,54,42,41,4,1,17,4,0,0,1,25,189
KERALA,TOTAL,2004,51,159,54,0,0,0,20,0,0,1,56,341
MADHYA PRADESH,TOTAL,2004,144,710,179,9,5,115,2,0,0,2,2487,3653
MAHARASHTRA,TOTAL,2004,187,634,380,15,8,249,14,11,3,14,766,2281
MANIPUR,TOTAL,2004,0,4,27,0,0,0,0,0,0,0,0,31
MEGHALAYA,TOTAL,2004,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,TOTAL,2004,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,TOTAL,2004,0,1,0,0,0,0,0,0,0,0,0,1
ODISHA,TOTAL,2004,9,31,11,0,0,0,3,0,0,1,74,129
PUNJAB,TOTAL,2004,42,54,53,8,1,12,0,0,1,2,20,193
RAJASTHAN,TOTAL,2004,21,137,128,17,0,90,1,1,1,2,5,403
SIKKIM,TOTAL,2004,2,1,2,1,0,0,0,0,0,0,2,8
TAMIL NADU,TOTAL,2004,71,166,93,0,3,20,6,0,0,5,29,393
TRIPURA,TOTAL,2004,5,28,14,0,0,0,0,0,0,0,12,59
UTTAR PRADESH,TOTAL,2004,528,394,735,2,4,0,23,0,0,1,234,1921
UTTARAKHAND,TOTAL,2004,4,17,2,1,0,1,32,0,0,0,0,57
WEST BENGAL,TOTAL,2004,2,19,99,0,1,0,13,9,12,8,43,206
A & N ISLANDS,TOTAL,2004,1,8,3,0,0,0,0,0,0,0,2,14
CHANDIGARH,TOTAL,2004,3,13,36,0,0,11,0,0,0,0,3,66
D & N HAVELI,TOTAL,2004,3,0,7,1,0,0,0,0,0,0,0,11
DAMAN & DIU,TOTAL,2004,0,1,0,0,0,1,0,0,0,0,0,2
DELHI,DELHI UT TOTAL,2004,41,186,371,4,0,33,0,0,0,0,131,766
LAKSHADWEEP,TOTAL,2004,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,TOTAL,2004,1,4,4,0,0,0,0,0,0,0,3,12
ANDHRA PRADESH,TOTAL,2005,57,315,332,1,4,99,48,9,2,9,74,950
ARUNACHAL PRADESH,TOTAL,2005,0,10,12,0,0,0,0,0,0,0,0,22
ASSAM,TOTAL,2005,13,90,18,1,5,0,0,0,2,0,70,199
BIHAR,TOTAL,2005,26,8,72,0,0,0,5,0,0,4,0,115
CHHATTISGARH,TOTAL,2005,37,382,110,21,8,6,0,0,0,3,430,997
GOA,TOTAL,2005,4,15,11,0,0,2,0,0,0,0,21,53
GUJARAT,TOTAL,2005,76,90,285,4,1,141,12,0,0,25,202,836
HARYANA,TOTAL,2005,38,131,101,8,0,32,0,0,0,7,57,374
HIMACHAL PRADESH,TOTAL,2005,6,58,37,1,0,12,0,0,0,3,14,131
JAMMU & KASHMIR,TOTAL,2005,4,4,48,0,0,0,0,0,0,0,1,57
JHARKHAND,TOTAL,2005,33,22,11,0,0,0,4,0,0,0,27,97
KARNATAKA,TOTAL,2005,47,48,35,7,1,18,7,0,0,3,25,191
KERALA,TOTAL,2005,45,140,45,1,1,3,21,0,0,3,127,386
MADHYA PRADESH,TOTAL,2005,150,870,240,12,7,95,4,1,0,18,2324,3721
MAHARASHTRA,TOTAL,2005,192,634,420,4,11,321,5,6,1,22,689,2305
MANIPUR,TOTAL,2005,3,4,13,0,0,0,0,0,0,0,0,20
MEGHALAYA,TOTAL,2005,9,51,11,0,0,0,4,0,0,0,6,81
MIZORAM,TOTAL,2005,24,37,13,0,0,0,0,0,0,0,0,74
NAGALAND,TOTAL,2005,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,TOTAL,2005,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,TOTAL,2005,10,28,16,0,0,0,0,0,0,0,32,86
PUNJAB,TOTAL,2005,26,51,59,12,0,13,2,0,0,11,36,210
RAJASTHAN,TOTAL,2005,57,246,132,10,0,123,1,0,1,3,7,580
SIKKIM,TOTAL,2005,1,14,2,1,1,5,0,0,0,0,1,25
TAMIL NADU,TOTAL,2005,54,115,69,0,1,6,0,0,0,4,39,288
TRIPURA,TOTAL,2005,1,20,6,0,0,0,0,0,0,1,0,28
UTTAR PRADESH,TOTAL,2005,390,394,749,0,2,0,3,0,0,4,259,1801
UTTARAKHAND,TOTAL,2005,6,18,41,0,0,0,9,0,0,0,2,76
WEST BENGAL,TOTAL,2005,2,6,102,0,1,0,20,2,44,2,57,236
A & N ISLANDS,TOTAL,2005,1,2,2,0,0,2,0,0,0,0,1,8
CHANDIGARH,TOTAL,2005,3,21,23,0,0,7,0,0,0,0,3,57
D & N HAVELI,TOTAL,2005,1,0,4,0,0,0,0,0,0,0,0,5
DAMAN & DIU,TOTAL,2005,1,1,2,0,0,1,0,0,0,0,0,5
DELHI,DELHI UT TOTAL,2005,34,235,507,3,0,47,0,9,0,0,191,1026
LAKSHADWEEP,TOTAL,2005,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,TOTAL,2005,0,3,3,0,0,0,0,0,0,0,2,8
ANDHRA PRADESH,TOTAL,2006,61,412,498,5,11,89,35,5,6,17,247,1386
ARUNACHAL PRADESH,TOTAL,2006,0,0,27,0,0,0,0,0,0,0,0,27
ASSAM,TOTAL,2006,11,61,25,1,5,0,0,0,1,1,147,252
BIHAR,TOTAL,2006,12,17,25,0,0,0,4,0,0,2,6,66
CHHATTISGARH,TOTAL,2006,48,448,113,5,1,14,0,0,0,5,604,1238
GOA,TOTAL,2006,3,14,10,0,1,8,1,0,0,0,17,54
GUJARAT,TOTAL,2006,87,112,360,6,1,150,9,0,0,12,240,977
HARYANA,TOTAL,2006,29,176,158,9,0,24,0,0,0,7,59,462
HIMACHAL PRADESH,TOTAL,2006,4,41,52,5,1,12,2,0,0,1,18,136
JAMMU & KASHMIR,TOTAL,2006,3,8,72,0,0,1,0,0,0,0,1,85
JHARKHAND,TOTAL,2006,10,28,11,1,0,0,26,0,0,0,36,112
KARNATAKA,TOTAL,2006,63,84,62,13,0,31,2,0,0,6,15,276
KERALA,TOTAL,2006,51,219,73,0,0,4,35,0,0,1,170,553
MADHYA PRADESH,TOTAL,2006,160,829,237,14,12,105,6,0,0,4,2572,3939
MAHARASHTRA,TOTAL,2006,207,655,552,10,7,255,15,23,1,15,1101,2841
MANIPUR,TOTAL,2006,6,15,32,0,0,0,0,0,0,0,1,54
MEGHALAYA,TOTAL,2006,6,47,13,0,0,0,3,0,0,2,0,71
MIZORAM,TOTAL,2006,0,35,0,0,0,0,0,0,0,0,0,35
NAGALAND,TOTAL,2006,3,11,0,0,0,0,0,0,0,0,0,14
ODISHA,TOTAL,2006,13,101,17,0,1,0,0,0,0,3,19,154
PUNJAB,TOTAL,2006,24,58,169,22,0,15,0,0,1,9,31,329
RAJASTHAN,TOTAL,2006,77,311,392,25,0,137,1,2,0,1,5,951
SIKKIM,TOTAL,2006,4,14,6,0,0,1,0,0,0,0,10,35
TAMIL NADU,TOTAL,2006,60,125,118,0,0,12,1,0,0,6,31,353
TRIPURA,TOTAL,2006,3,37,0,0,0,0,0,0,0,1,0,41
UTTAR PRADESH,TOTAL,2006,426,347,734,2,3,0,0,0,0,0,255,1767
UTTARAKHAND,TOTAL,2006,10,23,5,0,0,0,13,0,0,0,0,51
WEST BENGAL,TOTAL,2006,3,20,156,0,0,3,77,4,114,6,49,432
A & N ISLANDS,TOTAL,2006,0,5,4,0,0,0,0,0,0,0,0,9
CHANDIGARH,TOTAL,2006,1,8,43,0,0,11,0,0,0,0,1,64
D & N HAVELI,TOTAL,2006,1,3,10,0,0,1,0,0,0,0,0,15
DAMAN & DIU,TOTAL,2006,1,1,1,0,0,0,0,0,0,0,0,3
DELHI,ZDELHI UT TOTAL,2006,62,448,1114,7,2,36,1,1,0,0,489,2160
LAKSHADWEEP,TOTAL,2006,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,TOTAL,2006,1,8,13,0,0,0,0,0,0,0,3,25
ANDHRA PRADESH,TOTAL,2007,76,363,609,0,6,35,37,0,11,21,341,1499
ARUNACHAL PRADESH,TOTAL,2007,0,1,3,0,0,0,0,0,0,0,0,4
ASSAM,TOTAL,2007,2,34,29,0,0,0,0,0,0,1,101,167
BIHAR,TOTAL,2007,88,110,421,0,0,0,36,0,1,8,11,675
CHHATTISGARH,TOTAL,2007,45,368,103,10,3,7,3,0,0,4,481,1024
GOA,TOTAL,2007,3,15,7,0,0,6,0,0,0,0,39,70
GUJARAT,TOTAL,2007,83,98,436,1,0,149,25,0,0,14,304,1110
HARYANA,TOTAL,2007,20,122,107,4,1,12,0,0,0,4,55,325
HIMACHAL PRADESH,TOTAL,2007,6,48,61,1,0,6,2,0,0,1,26,151
JAMMU & KASHMIR,TOTAL,2007,0,12,8,0,0,1,0,0,0,0,5,26
JHARKHAND,TOTAL,2007,3,23,7,0,0,0,25,0,0,4,12,74
KARNATAKA,TOTAL,2007,53,84,62,7,0,25,8,0,0,4,23,266
KERALA,TOTAL,2007,38,183,73,0,1,6,22,0,0,1,163,487
MADHYA PRADESH,TOTAL,2007,160,1043,283,10,5,141,16,0,2,5,2625,4290
MAHARASHTRA,TOTAL,2007,213,615,590,1,8,297,13,31,0,7,932,2707
MANIPUR,TOTAL,2007,3,4,42,0,0,0,0,0,0,0,0,49
MEGHALAYA,TOTAL,2007,12,41,9,0,0,0,8,0,0,1,0,71
MIZORAM,TOTAL,2007,3,60,0,0,0,0,0,0,0,0,1,64
NAGALAND,TOTAL,2007,3,2,2,0,0,0,0,0,0,0,0,7
ODISHA,TOTAL,2007,30,92,36,5,0,0,0,0,0,1,37,201
PUNJAB,TOTAL,2007,29,135,296,35,0,9,0,0,0,5,18,527
RAJASTHAN,TOTAL,2007,89,406,589,16,0,146,1,0,0,3,2,1252
SIKKIM,TOTAL,2007,1,17,5,0,0,4,0,0,0,0,4,31
TAMIL NADU,TOTAL,2007,54,141,197,0,0,28,2,0,0,2,17,441
TRIPURA,TOTAL,2007,9,33,11,0,0,0,0,0,0,1,9,63
UTTAR PRADESH,TOTAL,2007,397,471,1041,1,0,0,0,1,0,0,337,2248
UTTARAKHAND,TOTAL,2007,14,17,46,0,0,0,1,0,0,0,23,101
WEST BENGAL,TOTAL,2007,15,92,88,1,0,1,54,6,55,9,40,361
A & N ISLANDS,TOTAL,2007,0,3,7,0,0,0,0,0,0,0,0,10
CHANDIGARH,TOTAL,2007,1,8,30,0,1,12,0,0,0,0,1,53
D & N HAVELI,TOTAL,2007,1,3,6,0,0,1,0,0,0,0,0,11
DAMAN & DIU,TOTAL,2007,2,0,0,0,0,1,0,0,0,0,0,3
DELHI,ZDELHI UT TOTAL,2007,56,398,1161,4,1,35,0,2,0,0,362,2019
LAKSHADWEEP,TOTAL,2007,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,TOTAL,2007,2,3,12,0,0,1,0,0,0,0,5,23
ANDHRA PRADESH,TOTAL,2008,64,412,433,2,7,49,48,1,2,19,284,1321
ARUNACHAL PRADESH,TOTAL,2008,0,11,13,0,0,0,0,0,0,0,0,24
ASSAM,TOTAL,2008,1,27,7,0,0,0,0,0,0,1,147,183
BIHAR,TOTAL,2008,116,91,496,0,0,0,45,0,0,8,10,766
CHHATTISGARH,TOTAL,2008,52,411,96,9,3,3,3,0,1,5,584,1167
GOA,TOTAL,2008,3,18,24,0,1,2,0,0,0,1,31,80
GUJARAT,TOTAL,2008,59,99,521,1,0,156,7,0,0,23,208,1074
HARYANA,TOTAL,2008,25,70,104,5,0,13,0,0,0,4,48,269
HIMACHAL PRADESH,TOTAL,2008,8,68,78,2,2,5,2,0,0,2,38,205
JAMMU & KASHMIR,TOTAL,2008,0,5,3,0,0,1,0,0,0,0,1,10
JHARKHAND,TOTAL,2008,4,8,18,0,0,1,18,1,0,0,21,71
KARNATAKA,TOTAL,2008,84,97,99,5,1,31,4,0,0,9,58,388
KERALA,TOTAL,2008,37,215,87,0,4,6,13,0,0,4,183,549
MADHYA PRADESH,TOTAL,2008,107,892,264,8,6,99,15,1,4,2,2861,4259
MAHARASHTRA,TOTAL,2008,178,690,598,2,3,274,13,25,1,5,920,2709
MANIPUR,TOTAL,2008,6,22,61,0,0,0,0,0,0,0,0,89
MEGHALAYA,TOTAL,2008,0,34,21,0,0,0,0,0,0,0,7,62
MIZORAM,TOTAL,2008,0,18,2,0,0,0,0,0,0,0,2,22
NAGALAND,TOTAL,2008,0,0,3,0,0,0,0,0,0,0,0,3
ODISHA,TOTAL,2008,13,65,8,0,0,0,0,0,0,1,54,141
PUNJAB,TOTAL,2008,34,106,184,24,1,8,0,0,0,6,26,389
RAJASTHAN,TOTAL,2008,97,420,504,10,0,158,0,0,0,3,31,1223
SIKKIM,TOTAL,2008,2,12,3,0,0,0,0,0,0,0,7,24
TAMIL NADU,TOTAL,2008,91,187,275,0,0,19,1,0,0,4,89,666
TRIPURA,TOTAL,2008,12,104,23,0,0,0,0,0,0,0,24,163
UTTAR PRADESH,TOTAL,2008,376,900,2224,2,0,0,0,0,0,0,576,4078
UTTARAKHAND,TOTAL,2008,3,9,24,0,0,0,2,0,0,0,0,38
WEST BENGAL,TOTAL,2008,19,129,196,1,0,1,53,2,41,6,65,513
A & N ISLANDS,TOTAL,2008,2,8,12,0,0,1,0,0,0,0,24,47
CHANDIGARH,TOTAL,2008,0,10,36,0,0,11,0,0,0,0,9,66
D & N HAVELI,TOTAL,2008,1,3,11,0,0,0,0,0,0,0,2,17
DAMAN & DIU,TOTAL,2008,0,0,0,0,0,0,0,0,0,0,4,4
DELHI,TOTAL,2008,41,301,1208,2,0,25,0,0,0,1,276,1854
LAKSHADWEEP,TOTAL,2008,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,TOTAL,2008,1,4,14,0,1,1,0,0,0,0,5,26
ANDHRA PRADESH,TOTAL,2009,77,416,632,6,13,77,28,1,1,0,468,1719
ARUNACHAL PRADESH,TOTAL,2009,0,16,17,0,0,0,0,0,0,0,0,33
BIHAR,TOTAL,2009,126,63,722,5,0,0,58,0,0,0,42,1016
CHHATTISGARH,TOTAL,2009,47,394,121,7,4,3,5,0,0,2,738,1321
GOA,TOTAL,2009,3,30,21,0,0,6,0,0,0,0,32,92
GUJARAT,TOTAL,2009,67,91,503,3,0,129,2,0,1,0,172,968
HARYANA,TOTAL,2009,19,116,149,3,1,20,0,0,0,0,45,353
HIMACHAL PRADESH,TOTAL,2009,9,83,72,1,1,5,6,0,0,0,44,221
JAMMU & KASHMIR,TOTAL,2009,3,4,10,0,0,0,0,0,0,0,1,18
JHARKHAND,TOTAL,2009,11,8,8,0,0,0,0,0,0,0,33,60
KARNATAKA,TOTAL,2009,60,104,67,7,1,21,4,0,1,3,40,308
KERALA,TOTAL,2009,44,235,83,0,0,7,14,0,0,0,204,587
MADHYA PRADESH,TOTAL,2009,127,1071,427,39,8,103,1,0,1,0,2869,4646
MAHARASHTRA,TOTAL,2009,182,612,534,17,13,274,42,29,2,0,1189,2894
MANIPUR,TOTAL,2009,8,12,52,0,0,0,0,0,0,0,0,72
MEGHALAYA,TOTAL,2009,8,60,9,0,0,0,3,0,0,0,3,83
MIZORAM,TOTAL,2009,0,11,1,0,0,0,0,0,0,0,2,14
NAGALAND,TOTAL,2009,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,TOTAL,2009,8,87,30,0,0,0,0,0,0,0,69,194
PUNJAB,TOTAL,2009,77,210,355,23,4,15,3,0,0,0,42,729
RAJASTHAN,TOTAL,2009,97,371,761,12,0,153,1,0,0,0,12,1407
SIKKIM,TOTAL,2009,3,14,6,0,0,3,0,0,0,0,14,40
TAMIL NADU,TOTAL,2009,83,182,300,0,0,0,0,0,0,0,69,634
TRIPURA,TOTAL,2009,13,83,12,0,0,0,28,0,0,0,27,163
UTTAR PRADESH,TOTAL,2009,372,625,1535,0,0,0,0,0,0,0,553,3085
UTTARAKHAND,TOTAL,2009,5,7,10,0,1,0,0,0,0,0,10,33
WEST BENGAL,TOTAL,2009,20,109,199,0,0,0,41,2,49,0,64,484
A & N ISLANDS,TOTAL,2009,1,12,10,0,0,0,0,0,0,0,18,41
CHANDIGARH,TOTAL,2009,1,21,27,0,0,9,0,0,0,0,13,71
D & N HAVELI,TOTAL,2009,1,2,8,0,0,0,0,0,0,0,0,11
DAMAN & DIU,TOTAL,2009,0,1,0,0,0,0,0,0,0,0,1,2
DELHI,TOTAL,2009,74,307,2248,0,0,28,1,0,2,0,179,2839
LAKSHADWEEP,TOTAL,2009,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,TOTAL,2009,1,1,11,0,0,4,0,0,0,0,4,21
ANDHRA PRADESH,TOTAL,2010,69,446,581,1,9,55,82,0,3,0,577,1823
ARUNACHAL PRADESH,TOTAL,2010,0,12,5,0,0,0,0,0,0,0,3,20
ASSAM,TOTAL,2010,10,39,17,0,0,0,75,0,3,0,53,197
BIHAR,TOTAL,2010,202,114,1359,0,0,0,152,0,0,8,8,1843
CHHATTISGARH,TOTAL,2010,52,382,186,9,1,6,11,0,0,2,814,1463
GOA,TOTAL,2010,2,23,14,0,1,4,1,0,0,0,34,79
GUJARAT,TOTAL,2010,66,102,565,10,10,121,0,0,0,14,118,1006
HARYANA,TOTAL,2010,29,107,123,2,0,24,0,0,0,0,18,303
HIMACHAL PRADESH,TOTAL,2010,6,72,86,0,1,4,3,0,0,5,69,246
JAMMU & KASHMIR,TOTAL,2010,1,8,5,1,0,0,0,0,0,0,2,17
JHARKHAND,TOTAL,2010,4,0,6,0,0,0,21,3,1,0,19,54
KARNATAKA,TOTAL,2010,45,108,125,4,0,30,21,0,0,8,68,409
KERALA,TOTAL,2010,42,208,111,0,3,9,6,0,0,6,211,596
