STATE/UT,YEAR,TOTAL - Dacoity,TOTAL - Robbery,TOTAL - Burglary,TOTAL - Theft
A & N ISLANDS,2006,0,5,82,101
CHANDIGARH,2006,1,34,189,1234
D & N HAVELI,2006,5,5,41,61
DAMAN & DIU,2006,8,1,60,63
DELHI,2006,14,541,1950,17498
LAKSHADWEEP,2006,0,0,2,17
PUDUCHERRY,2006,2,3,84,560
TOTAL (UTs),2006,30,589,2408,19534
TOTAL (ALL-INDIA),2006,4747,18456,91666,274354
ANDHRA PRADESH,2007,170,614,7677,24391
ARUNACHAL PRADESH,2007,16,75,240,513
ASSAM,2007,299,496,2603,7754
BIHAR,2007,686,1787,3259,11795
CHHATTISGARH,2007,115,427,3632,5381
GOA,2007,7,22,292,494
GUJARAT,2007,245,1095,4870,18164
HARYANA,2007,139,502,4231,11047
HIMACHAL PRADESH,2007,5,23,877,1092
JAMMU & KASHMIR,2007,18,111,1460,2086
JHARKHAND,2007,524,771,1495,7091
KARNATAKA,2007,178,1313,5449,14351
KERALA,2007,121,869,4100,5609
MADHYA PRADESH,2007,143,1975,11230,22396
MAHARASHTRA,2007,716,2770,15607,47681
MANIPUR,2007,3,11,70,454
MEGHALAYA,2007,55,56,203,500
MIZORAM,2007,0,5,457,808
NAGALAND,2007,7,75,118,360
ODISHA,2007,247,1273,3073,6830
PUNJAB,2007,37,138,2616,5173
RAJASTHAN,2007,71,778,5164,19345
SIKKIM,2007,0,6,83,118
TAMIL NADU,2007,88,495,3717,13217
TRIPURA,2007,14,64,193,411
UTTAR PRADESH,2007,437,2169,5057,22816
UTTARAKHAND,2007,46,173,548,1593
WEST BENGAL,2007,146,427,399,13747
TOTAL (STATES),2007,4533,18520,88720,265217
A & N ISLANDS,2007,5,9,90,112
CHANDIGARH,2007,2,37,191,1740
D & N HAVELI,2007,1,3,28,87
DAMAN & DIU,2007,3,2,46,43
DELHI,2007,34,557,2055,17037
LAKSHADWEEP,2007,0,0,2,20
PUDUCHERRY,2007,1,8,86,787
TOTAL (UTs),2007,46,616,2498,19826
TOTAL (ALL-INDIA),2007,4579,19136,91218,285043
ANDHRA PRADESH,2008,110,623,8332,25362
ARUNACHAL PRADESH,2008,14,79,245,445
ASSAM,2008,312,568,3147,8012
BIHAR,2008,686,1592,3414,13206
CHHATTISGARH,2008,124,500,4112,6079
GOA,2008,3,23,302,601
GUJARAT,2008,256,1322,5053,20715
HARYANA,2008,120,555,4249,12709
HIMACHAL PRADESH,2008,6,20,885,1152
JAMMU & KASHMIR,2008,3,67,1347,2198
JHARKHAND,2008,416,761,1375,7269
KARNATAKA,2008,270,1615,6258,17820
KERALA,2008,91,816,3882,5818
MADHYA PRADESH,2008,160,2234,11072,24583
MAHARASHTRA,2008,811,3031,16004,52860
MANIPUR,2008,1,7,76,446
MEGHALAYA,2008,63,65,168,669
MIZORAM,2008,4,6,338,747
NAGALAND,2008,6,87,127,345
ODISHA,2008,305,1345,3100,7419
PUNJAB,2008,40,167,2621,5563
RAJASTHAN,2008,64,829,4736,20411
SIKKIM,2008,1,7,81,127
TAMIL NADU,2008,100,662,3849,15019
TRIPURA,2008,13,95,218,499
UTTAR PRADESH,2008,313,2097,5418,25946
UTTARAKHAND,2008,16,144,423,1622
WEST BENGAL,2008,184,613,462,17334
TOTAL (STATES),2008,4492,19930,91294,294976
A & N ISLANDS,2008,0,14,78,128
CHANDIGARH,2008,1,23,257,1991
D & N HAVELI,2008,1,0,49,54
DAMAN & DIU,2008,2,4,45,49
DAMAN & DIU,2008,2,4,45,49
DELHI,2008,24,541,1926,18867
LAKSHADWEEP,2008,0,0,3,8
PUDUCHERRY,2008,10,10,90,688
TOTAL (UTs),2008,40,582,2415,21706
TOTAL (ALL-INDIA),2008,40,596,2493,21834
ANDHRA PRADESH,2009,102,544,7772,24692
ARUNACHAL PRADESH,2009,20,55,201,381
ASSAM,2009,251,680,3149,7644
BIHAR,2009,654,1619,3566,15221
CHHATTISGARH,2009,134,554,3975,5792
GOA,2009,4,30,294,858
GUJARAT,2009,246,1420,4488,19669
HARYANA,2009,153,679,4077,12917
HIMACHAL PRADESH,2009,4,21,784,823
JAMMU & KASHMIR,2009,1,69,1566,2631
JHARKHAND,2009,412,780,1392,7716
KARNATAKA,2009,273,1825,6629,20576
KERALA,2009,112,830,3554,5564
MADHYA PRADESH,2009,117,2270,10661,23260
MAHARASHTRA,2009,780,3314,15841,50930
MANIPUR,2009,1,3,68,394
MEGHALAYA,2009,64,67,147,545
MIZORAM,2009,2,4,381,761
NAGALAND,2009,8,92,82,347
ODISHA,2009,380,1488,2937,7136
PUNJAB,2009,38,171,2507,5624
RAJASTHAN,2009,53,886,5294,22144
SIKKIM,2009,0,4,93,62
TAMIL NADU,2009,97,1144,4221,15712
TRIPURA,2009,7,77,231,415
UTTAR PRADESH,2009,365,2285,5260,29226
UTTARAKHAND,2009,35,179,363,1601
WEST BENGAL,2009,214,751,329,17133
TOTAL (STATES),2009,4527,21841,89862,299774
A & N ISLANDS,2009,0,11,86,134
CHANDIGARH,2009,4,27,241,1731
D & N HAVELI,2009,9,2,43,63
DAMAN & DIU,2009,0,4,33,41
DELHI,2009,36,515,1733,21731
LAKSHADWEEP,2009,3,0,1,10
PUDUCHERRY,2009,7,9,71,711
TOTAL (UTs),2009,59,568,2208,24421
TOTAL (ALL-INDIA),2009,4586,22409,92070,324195
ANDHRA PRADESH,2010,134,550,8200,26756
ARUNACHAL PRADESH,2010,15,69,211,445
ASSAM,2010,248,662,3458,7860
BIHAR,2010,644,1538,3437,15544
CHHATTISGARH,2010,122,552,3711,5805
GOA,2010,2,39,368,1034
GUJARAT,2010,186,1384,4071,16794
HARYANA,2010,147,734,4445,16266
HIMACHAL PRADESH,2010,2,11,743,838
JAMMU & KASHMIR,2010,6,61,1406,2510
JHARKHAND,2010,335,709,1357,7090
KARNATAKA,2010,272,1949,6059,20093
KERALA,2010,74,636,2682,4380
MADHYA PRADESH,2010,110,1919,9897,21577
MAHARASHTRA,2010,778,3721,16617,52565
MANIPUR,2010,0,2,66,417
MEGHALAYA,2010,42,67,166,664
MIZORAM,2010,3,16,425,823
NAGALAND,2010,3,63,62,397
ODISHA,2010,346,1491,2855,7572
PUNJAB,2010,65,241,2661,5446
RAJASTHAN,2010,37,872,4714,22324
SIKKIM,2010,1,7,72,53
TAMIL NADU,2010,85,1817,4715,14583
TRIPURA,2010,16,65,221,457
UTTAR PRADESH,2010,337,2577,4915,31153
UTTARAKHAND,2010,12,162,310,2138
WEST BENGAL,2010,288,798,388,19389
TOTAL (STATES),2010,4310,22712,88232,304973
A & N ISLANDS,2010,1,7,80,121
CHANDIGARH,2010,5,67,236,1481
D & N HAVELI,2010,2,3,25,63
DAMAN & DIU,2010,6,0,27,47
DELHI,2010,32,599,1502,23088
LAKSHADWEEP,2010,0,0,5,5
PUDUCHERRY,2010,2,5,72,534
TOTAL (UTs),2010,48,681,1947,25339
TOTAL (ALL-INDIA),2010,4358,23393,90179,330312
ANDHRA PRADESH,2011,126,600,8300,28267
ARUNACHAL PRADESH,2011,13,64,183,414
ASSAM,2011,305,837,3327,8309
BIHAR,2011,556,1381,3629,16292
CHHATTISGARH,2011,68,470,3548,5315
GOA,2011,2,26,318,1115
GUJARAT,2011,221,1368,4509,16043
HARYANA,2011,167,638,5011,17425
HIMACHAL PRADESH,2011,1,10,995,1042
JAMMU & KASHMIR,2011,14,88,1516,2655
JHARKHAND,2011,309,614,1235,6378
KARNATAKA,2011,214,2123,6136,19834
KERALA,2011,71,741,3001,4704
MADHYA PRADESH,2011,118,1952,10230,22414
MAHARASHTRA,2011,773,4249,16313,53449
MANIPUR,2011,1,7,52,719
MEGHALAYA,2011,49,63,145,696
MIZORAM,2011,1,6,336,734
NAGALAND,2011,7,59,73,360
ODISHA,2011,417,1583,3031,8724
PUNJAB,2011,28,236,2488,4784
RAJASTHAN,2011,28,727,4510,21099
SIKKIM,2011,0,5,60,72
TAMIL NADU,2011,101,2066,4848,13924
TRIPURA,2011,11,50,227,494
UTTAR PRADESH,2011,379,3148,5765,36683
UTTARAKHAND,2011,13,179,342,2093
WEST BENGAL,2011,236,760,455,21446
TOTAL (STATES),2011,4229,24050,90583,315484
A & N ISLANDS,2011,1,1,99,88
CHANDIGARH,2011,6,68,285,1502
D & N HAVELI,2011,7,2,22,69
DAMAN & DIU,2011,4,6,31,47
DELHI,2011,33,562,1419,22899
LAKSHADWEEP,2011,0,0,0,4
PUDUCHERRY,2011,5,11,65,707
TOTAL (UTs),2011,56,650,1921,25316
TOTAL (ALL-INDIA),2011,4285,24700,92504,340800
ANDHRA PRADESH,2012,131,668,8442,27475
ARUNACHAL PRADESH,2012,20,65,215,402
ASSAM,2012,266,907,3825,9394
BIHAR,2012,540,1266,3758,17667
CHHATTISGARH,2012,64,412,3334,5341
GOA,2012,6,25,356,915
GUJARAT,2012,287,1366,4695,15952
HARYANA,2012,204,711,5129,17590
HIMACHAL PRADESH,2012,1,10,928,769
JAMMU & KASHMIR,2012,6,81,1395,2022
JHARKHAND,2012,284,494,1216,6680
KARNATAKA,2012,211,2207,5792,18418
KERALA,2012,72,725,2710,4078
MADHYA PRADESH,2012,107,1940,10019,23182
MAHARASHTRA,2012,793,6949,15648,47476
MANIPUR,2012,8,3,53,903
MEGHALAYA,2012,52,46,145,543
MIZORAM,2012,2,4,347,605
NAGALAND,2012,1,54,65,381
ODISHA,2012,402,1613,3430,9630
PUNJAB,2012,48,213,2828,5272
RAJASTHAN,2012,31,807,4610,23314
SIKKIM,2012,0,6,65,117
TAMIL NADU,2012,97,1898,4457,11996
TRIPURA,2012,7,60,239,565
UTTAR PRADESH,2012,322,3159,6187,37376
UTTARAKHAND,2012,29,144,391,1913
WEST BENGAL,2012,279,816,464,22991
TOTAL (STATES),2012,4270,26649,90743,312967
A & N ISLANDS,2012,5,2,71,71
CHANDIGARH,2012,3,63,235,1549
D & N HAVELI,2012,2,2,22,68
DAMAN & DIU,2012,1,3,26,55
DELHI,2012,28,608,1715,22032
LAKSHADWEEP,2012,0,0,3,7
PUDUCHERRY,2012,5,16,77,658
TOTAL (UTs),2012,44,694,2149,24440
TOTAL (ALL-INDIA),2012,4314,27343,92892,337407
